NOME_EMPRESARIAL;DATA_EMISSAO;DATA_EXPIRACAO
(MPDS) MEIO AMBIENTE, PESSOAS E O DESENVOLVIMENTO ;26/02/2014;***
(RBDS) NO RASTRO DA BIODIVERSIDADE E DO DESENVOLVI;18/02/2013;***
+55 ADMINISTRADORA DE BENS LTDA.;20/12/2017;***
-SUELI DE FATIMA OLIVEIRA-;19/08/2019;***
0 STELLA SERVICOS E COMERCIO DE CARIMBOS;01/12/2010;***
0 SILVA & ANTUNES LTDA;01/12/2010;***
001 PERFUMES E INFORMATICA LTDA;11/05/2012;***
001SHOP DESENVOLVIMENTO DE LOJAS VIRTUAIS LTDA EPP;03/05/2016;***
007 INFORMATICA LTDA ME;30/05/2012;***
007 TRANSPORTE RODOVIARIO LTDA;14/09/1999;31/12/2002
01 TECNOLOGIA DA INFORMACAO LTDA. ME;01/03/2012;***
041 CAFE BAR E RESTAURANTE LTDA;26/06/2001;31/12/2001
041 CINE/VIDEO LTDA;02/01/2002;***
041 CONTABILIDADE LTDA;13/08/2018;***
0K DESENVOLVIMENTO DE SOFTWARE LTDA;28/03/2018;***
0SCAR ANTONIO GALVAN;07/10/2011;***
1 A CLASSE-AGENCIA DE VIAGEM E TURISMO LTDA;05/07/2019;***
1 CAMARA DE ARBITRAGEM, MEDIACAO E CONCILIACAO SOC;26/08/2016;31/12/2017
1 M COMERCIO DE ROUPAS E ARTIGOS DE COURO LTDA;24/04/1998;***
1 OFICIO DE DISTRIBUIDOR DO FORO CENTRAL DA COMARC;25/10/2011;***
1 OPCAO CALCADOS E SEMI JOIAS LTDA - ME;26/09/2012;***
1 SERVICO DE REGISTRO DE IMOVEIS DO FORO CENTRAL D;20/01/2009;***
1.000 ADMINISTRADORA DE NEGOCIOS - EIRELI;05/06/2018;***
1.7 REPRESENTACOES COMERCIAIS LTDA. - ME;04/05/2017;***
1/4 DE ANJO DECORACOES E ARTIGOS INFANTIS LTDA;15/12/2006;31/12/2008
1ª IGREJA BATISTA RENOVADA - MINISTERIO MISSAO DE ;19/01/2018;***
10 ADMINISTRADORA DE BENS LTDA;03/06/2019;***
10 DOCES BOMBONIERE LTDA - ME;16/11/2017;***
10 DOCES BOMBONIERE LTDA - ME;02/07/2018;***
10+ SOLUCOES EMPRESARIAIS EIRELI;13/08/2018;***
100 BEER COMERCIO DE ALIMENTOS E BEBIDAS EIRELI;07/05/2019;22/07/2019
100 FREIOS-SERV COM FREIOS LTDA;07/08/1991;***
100 NOCAO FUT 7;17/10/2017;***
100 POR CENTO CARNES E CHURRASCO LTDA;22/03/2010;31/12/2010
100 RUIDO TRATAMENTO ACUSTICO AUTOMOTIVO LTDA -ME;26/02/2009;31/12/2009
100% FRUTA COMERCIO DE SORVETES - EIRELI - ME;12/12/2017;***
100% AREA DE LAZER COMERCIO DE MATERIAIS ESPORTIVO;06/12/2018;***
100% FRUTA COMERCIO DE SORVETES LTDA - ME;23/03/2017;12/01/2018
1000 CAR COMERCIO DE VEICULOS LTDA;02/01/2002;***
1000 MARCAS SUL EQUIPAMENTOS DE SEGURANCA LTDA - M;28/06/2016;***
1000 PROJETOS - GESTAO EMPRESARIAL EIRELI;25/06/2019;***
1000SEGUROS CORRETORA DE SEGUROS LTDA - ME;13/03/2015;***
1001 EVENTOS E TURISMO LTDA;01/12/2010;***
1001 LOJAS - EIRELI - ME;27/01/2015;***
1001 MATERIAIS DE CONSTRUCAO LTDA-EPP;31/01/2012;***
1001 SERVICOS DE INSTALACOES ELETRICAS E DE TELEFO;01/12/2010;***
1003 - EXPORTADORA E IMPORTADORA DE PRODUTOS MANUF;04/03/1999;***
1005-COMERCIO DE CONFECCOES LTDA;25/04/1994;***
100PRE PRODUCAO DE VIDEOS LTDA;01/12/2010;***
100TEMPO ENTREGAS RAPIDAS LTDA;30/11/2011;***
100TRAL SERVICOS DE INTERMEDIACOES DE CONSORCIOS E;15/06/2019;***
100TRAN CENTRO DE FORMACAO DE CONDUTORES EIRELI -;02/06/2014;16/05/2015
103 ENGENHARIA E CONSULTORIA S/C LTDA;18/03/1998;***
105 ODONTOLOGIA LTDA - ME;13/05/2019;***
10K STORE COMERCIO DE ELETROELETRONICOS - EIRELI;08/08/2019;***
10P FRANQUIA LTDA. EPP.;24/03/2014;***
10P LANCHES N&F LTDA. - ME;18/02/2013;***
10P PRESTADORA DE SERVICOS LTDA. EPP.;25/03/2014;***
10RT - PARTICIPACOES LTDA - ME;20/08/2015;***
11 COMUNICACAO INTEGRADA E ADMINISTRADORA DE CARTO;04/06/2019;***
11 DE JULHO PARTICIPACOES LTDA;17/09/2019;***
11 PROMO PUBLICIDADE E PROPAGANDA LTDA - ME;10/06/2015;***
11 TABEL IGNES MARIA P CAETANO;02/01/1998;***
11 TUR TRANSPORTE E TURISMO LTDA;13/11/2018;***
1188 CONSULTING GROUP CONSULTORIA ESTRATEGICA E MA;30/09/2010;***
1220 PARTICIPACOES E INVESTIMENTOS SOCIETARIOS EIR;11/07/2019;***
123 E JA EVENTOS ESPECIAIS LTDA - ME;09/08/2017;31/12/2017
12A COMERCIO E LOCACOES DE FERRAMENTAS LTDA;26/08/2016;***
13 M EDITORA LTDA;16/04/2010;***
135 GRAUS INCORPORACAO E EMPREENDIMENTOS IMOBILIAR;01/03/2016;***
14 BIS BAR E PETISCARIA LTDA;17/07/2019;***
14 NOVE REBOQUES E GUINCHOS LTDA;02/01/2019;***
14 ZERO 9 MARKETING E COMUNICACAO LTDA;01/03/2012;***
144 COMUNICACAO LTDA - ME;01/07/2015;***
147 CAR PARK ESTACIONAMENTO LTDA - ME;25/08/2008;30/04/2009
14Z LOCADORA DE VEICULOS LTDA.;02/05/2019;***
150ML REPRESENTAÇÕES COMERCIAIS LTDA.;10/12/2009;***
153BBA PUBLICIDADE PROPAGANDA E MARKETING LTDA - M;09/07/2015;***
156 DIGITAL LTDA - ME;15/02/2019;***
16 CANAIS PRODUCOES CULTURAIS LTDA;05/03/2013;***
16 GRAUS COMERCIO E MANUTENCAO DE AR CONDICIONADO ;03/12/2014;***
16 IGREJA BATISTA EM CURITIBA;11/12/2013;***
16 POR 9 PRODUTORA DE VIDEO LTDA;16/10/2001;31/12/2002
17TH LYS DILIGITIS CONSULTORIA DE IMAGEM E ESTILO ;30/09/2019;***
18 DE MAIO TRANSPORTES LTDA - ME;21/10/2014;***
18 GIGAS COMERCIO DE EQUIPAMENTOS EIRELI - ME;21/06/2017;***
1859 SERVICOS FINANCEIROS LTDA;26/03/2018;***
18KARAT JOIAS LTDA - EPP;26/09/2016;***
1927 POS - PRODUCAO DE AUDIO LTDA - ME;05/01/2010;***
195 PASTELARIA E LANCHONETE LTDA;02/01/1998;***
1A1 CRIPTO INTERMEDIACAO E CONSULTORIA DE CRIPTOMO;28/11/2018;***
1NEX DESENVOLVIMENTO DE SOFTWARES LTDA;04/07/2018;***
1ONE CONSULTORIA E PARTICIPACOES SOCIETARIAS EIREL;03/09/2019;***
1SOBRE2 DESIGN LTDA - ME;07/03/2014;***
1T2F3R PARTICIPACOES SOCIETARIAS S/A;13/02/2019;***
2 A P CONSULTORIA EM RECURSOS HUMANOS E QUALIDADE ;15/12/2006;31/12/2008
2 A REPRESENTAÇÕES COMERCIAIS LTDA;19/12/2017;***
2 D DIGITAL MANUTENCAO DE EQUIPAMENTOS DE INFORMAT;28/03/2014;***
2 E SOLUCOES LTDA ME;23/05/2012;***
2 FAST PROPAGANDA E MARKETING LTDA;23/05/2007;***
